,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
337,Adolfo Lopez Mateos,88.0,MX,1524620221,20.0,26.8,-109.39,82.65,4.12
338,Sao Joao da Barra,12.0,BR,1524620221,100.0,-21.64,-41.05,76.26,8.14
339,Kieta,12.0,PG,1524620221,98.0,-6.22,155.63,82.38,5.41
340,Chicama,20.0,PE,1524618000,94.0,-7.84,-79.15,68.0,8.05
341,Irbeyskoye,64.0,RU,1524620222,74.0,55.64,95.45,51.24,8.25
342,Sovetskiy,8.0,RU,1524620222,81.0,56.76,48.47,22.8,2.89
343,Matara,20.0,LK,1524620222,100.0,5.95,80.54,81.93,4.0
344,Aksaray,0.0,TR,1524619200,71.0,38.37,34.03,42.8,5.82
345,Ambilobe,32.0,MG,1524620222,98.0,-13.19,49.05,69.33,3.11
346,Shimoda,90.0,JP,1524616440,94.0,34.7,138.93,68.0,18.34
347,Petatlan,75.0,MX,1524617160,65.0,17.52,-101.27,82.4,5.82
348,San Patricio,20.0,MX,1524617160,65.0,19.22,-104.7,80.6,9.17
349,Svetlogorsk,90.0,RU,1524616200,79.0,53.14,59.15,26.6,8.95
350,Sambava,20.0,MG,1524620223,100.0,-14.27,50.17,77.61,15.41
351,Caravelas,92.0,BR,1524620223,100.0,-17.73,-39.27,76.26,13.4
352,Humberto de Campos,76.0,BR,1524620223,100.0,-2.6,-43.46,79.95,12.12
353,Woodstock,90.0,CA,1524618000,93.0,43.13,-80.75,50.0,9.17
354,Hami,0.0,CN,1524620223,32.0,42.84,93.51,79.23,3.56
355,Bonfim,0.0,BR,1524618000,77.0,-20.33,-44.24,68.0,9.17
356,Tefe,68.0,BR,1524620224,97.0,-3.35,-64.71,71.76,2.39
357,Aklavik,20.0,CA,1524618000,51.0,68.22,-135.01,37.4,11.41
358,Florianopolis,20.0,BR,1524618000,94.0,-27.6,-48.55,68.0,4.23
359,Mjolby,64.0,SE,1524619200,87.0,58.33,15.12,42.8,12.75
360,Warmbad,8.0,NA,1524620225,50.0,-28.45,18.73,55.47,7.43
361,Quarai,20.0,BR,1524620225,90.0,-30.39,-56.45,70.14,7.92
362,Tenenkou,0.0,ML,1524620225,64.0,14.46,-4.91,76.26,2.73
363,Mocuba,56.0,MZ,1524620225,96.0,-16.84,36.99,68.16,4.74
364,Saint-Pierre,0.0,PM,1524614400,87.0,46.77,-56.17,35.6,13.87
365,Greymouth,92.0,NZ,1524620226,98.0,-42.45,171.21,55.74,8.59
366,Russell,32.0,NZ,1524620226,56.0,-35.26,174.12,66.81,9.1
367,Flin Flon,20.0,CA,1524620226,58.0,54.77,-101.88,48.81,9.04
368,Beringovskiy,48.0,RU,1524620226,100.0,63.05,179.32,21.09,22.91
369,Grand-Santi,92.0,GF,1524620226,100.0,4.27,-54.38,71.4,1.99
370,Olinda,20.0,BR,1524618000,94.0,-22.82,-43.41,75.2,3.36
371,Jardim,0.0,BR,1524620226,61.0,-21.48,-56.15,72.93,7.09
372,Vizinga,0.0,RU,1524620227,78.0,61.08,50.08,23.7,2.55
373,Hamilton,75.0,BM,1524617700,59.0,32.3,-64.78,66.2,16.11
374,Gornopravdinsk,80.0,RU,1524620227,95.0,60.06,69.92,32.61,6.87
375,Lagoa,0.0,PT,1524618000,93.0,37.14,-8.45,60.8,4.7
376,Quezailica,32.0,HN,1524620227,85.0,14.88,-88.73,71.76,1.88
377,Comodoro Rivadavia,0.0,AR,1524618000,61.0,-45.87,-67.48,50.0,4.7
378,Okhotsk,76.0,RU,1524620228,70.0,59.36,143.24,36.66,7.14
379,Mariano Comense,0.0,IT,1524619200,87.0,45.7,9.18,64.4,1.12
380,Nuuk,76.0,GL,1524617400,85.0,64.17,-51.74,23.0,20.8
381,Corinto,20.0,NI,1524620228,45.0,12.48,-87.17,87.87,9.6
382,Nikel,64.0,RU,1524619200,69.0,69.41,30.22,37.4,6.93
383,Yerbogachen,0.0,RU,1524620228,47.0,61.28,108.01,32.16,3.74
384,Zharkent,68.0,KZ,1524620228,59.0,44.17,80.0,54.21,2.89
385,Bibiani,56.0,GH,1524620229,96.0,6.45,-2.31,73.83,6.24
386,Santiago de Cao,20.0,PE,1524618000,94.0,-7.96,-79.24,68.0,8.05
387,Chapada dos Guimaraes,0.0,BR,1524614400,78.0,-15.46,-55.75,78.8,3.36
388,Samagaltay,12.0,RU,1524620229,32.0,50.6,95.0,64.11,3.89
389,Thinadhoo,92.0,MV,1524620229,100.0,0.53,72.93,84.9,14.85
390,Chaoyang,0.0,CN,1524620229,52.0,41.58,120.44,71.85,5.75
391,Nauta,44.0,PE,1524620230,95.0,-4.51,-73.58,75.36,5.08
392,Arman,90.0,RU,1524614400,92.0,59.7,150.17,26.6,11.18
393,Sidi Ali,92.0,DZ,1524620230,97.0,36.1,0.42,62.13,6.42
394,Kuching,75.0,MY,1524618000,88.0,1.56,110.34,78.8,2.1
395,Amiens,90.0,FR,1524618000,87.0,49.89,2.3,55.4,6.93
396,Vila Velha,0.0,BR,1524618000,83.0,-3.71,-38.6,78.8,3.36
397,Hendrina,0.0,ZA,1524620231,76.0,-26.16,29.72,38.46,2.73
398,Astana,75.0,KZ,1524614400,75.0,51.13,71.43,42.8,17.9
399,Iracoubo,88.0,GF,1524620231,93.0,5.48,-53.21,75.54,3.89
400,Tessalit,20.0,ML,1524620231,28.0,20.2,1.01,69.78,7.81
401,Pontes e Lacerda,0.0,BR,1524620231,83.0,-15.23,-59.33,71.13,2.62
402,Anjangaon,0.0,IN,1524620231,20.0,21.16,77.31,89.94,3.62
403,Mackenzie,75.0,CA,1524618000,73.0,55.34,-123.09,50.0,11.41
404,Malatya,0.0,TR,1524619200,65.0,38.35,38.32,44.6,2.24
405,Yunyang,92.0,CN,1524620232,100.0,32.84,110.81,57.99,3.51
406,Sitka,92.0,US,1524620232,81.0,37.17,-99.65,51.24,12.91
407,Yakeshi,0.0,CN,1524620232,36.0,49.28,120.73,65.73,16.15
408,Pravia,92.0,ES,1524618000,100.0,43.49,-6.11,55.4,3.36
409,Wawa,75.0,CA,1524614400,45.0,47.99,-84.77,48.2,5.82
410,Dergachi,68.0,RU,1524620232,68.0,51.24,48.77,36.3,5.12
411,Makokou,64.0,GA,1524620233,95.0,0.56,12.85,74.55,2.33
412,Clyde River,1.0,CA,1524618000,83.0,70.47,-68.59,-13.01,2.89
413,Homer,90.0,US,1524617580,75.0,59.64,-151.54,41.0,23.04
414,Bulawayo,0.0,ZW,1524620233,81.0,-20.16,28.59,47.82,3.89
415,Bowen,0.0,AU,1524620233,93.0,-20.01,148.25,79.86,9.33
416,Shakawe,0.0,BW,1524620233,64.0,-18.36,21.84,57.99,2.84
417,Cidreira,0.0,BR,1524620234,96.0,-30.17,-50.22,70.14,10.11
418,Bondo,92.0,CD,1524620234,100.0,3.81,23.69,69.96,2.28
419,Mariinsk,92.0,RU,1524620234,96.0,56.21,87.75,47.28,7.02
420,Moroni,75.0,KM,1524618000,83.0,-11.7,43.26,75.2,6.93
421,Lokoja,24.0,NG,1524620234,82.0,7.8,6.74,77.97,9.78
422,Vanavara,24.0,RU,1524620234,49.0,60.35,102.28,35.76,6.08
423,Bastia,0.0,FR,1524618000,93.0,42.7,9.45,55.4,3.36
424,Mwense,0.0,ZM,1524620235,66.0,-10.39,28.7,64.38,7.76
425,Leshukonskoye,0.0,RU,1524620235,74.0,64.9,45.76,27.3,6.35
426,Itarema,56.0,BR,1524620235,95.0,-2.92,-39.92,75.81,7.36
427,Antofagasta,75.0,CL,1524618000,82.0,-23.65,-70.4,60.8,10.29
428,Kloulklubed,90.0,PW,1524617520,74.0,7.04,134.26,87.8,8.05
429,Rawson,0.0,AR,1524620235,89.0,-43.3,-65.11,50.52,11.83
